order_id,customer_id,product_id,product_name,quantity,price_per_unit,total_amount,sale_date
45,CUST-0144,1011,Генератор,7,3713.64,25995.48,2025-11-07
46,CUST-0486,1004,Воздушный фильтр,14,1638.63,22940.82,2025-09-09
47,CUST-0050,1012,Стартер,11,4032.62,44358.87,2025-12-09
48,CUST-0067,1001,Тормозные колодки передние,18,1038.92,18700.63,2025-06-19
49,CUST-0302,1012,Стартер,12,4800.13,57601.57,2025-09-28
50,CUST-0142,1020,Лампы H7,12,6155.19,73862.32,2025-04-18
51,CUST-0055,1019,Лампы H4,13,5478.98,71226.76,2025-03-08
52,CUST-0496,1020,Лампы H7,4,5612.86,22451.43,2025-12-02
53,CUST-0474,1007,Амортизатор задний,7,3042.74,21299.2,2025-02-20
54,CUST-0155,1003,Масляный фильтр,18,1636.88,29463.87,2025-08-31
55,CUST-0023,1007,Амортизатор задний,18,3060.87,55095.58,2025-03-07
56,CUST-0130,1007,Амортизатор задний,14,2869.31,40170.31,2025-10-14
57,CUST-0368,1012,Стартер,12,4284.84,51418.13,2025-03-02
58,CUST-0269,1014,Аккумулятор 75Ah,3,4965.64,14896.92,2025-09-15
59,CUST-0357,1001,Тормозные колодки передние,6,974.68,5848.1,2025-03-08
60,CUST-0032,1010,Радиатор охлаждения,2,4433.7,8867.41,2025-12-22
61,CUST-0273,1007,Амортизатор задний,13,2806.9,36489.75,2025-09-20
62,CUST-0261,1003,Масляный фильтр,6,1523.59,9141.54,2025-07-16
63,CUST-0140,1018,Щётки стеклоочистителя,13,6002.12,78027.59,2025-04-16
64,CUST-0112,1006,Амортизатор передний,1,2160.0,2160.0,2025-10-31
65,CUST-0363,1001,Тормозные колодки передние,17,920.79,15653.44,2025-09-26
66,CUST-0152,1009,Помпа водяная,10,3922.15,39221.53,2025-12-29
67,CUST-0115,1009,Помпа водяная,18,2913.77,52447.81,2025-01-24
68,CUST-0328,1018,Щётки стеклоочистителя,8,5729.61,45836.87,2025-03-17
69,CUST-0405,1009,Помпа водяная,5,3121.85,15609.24,2025-01-27
70,CUST-0001,1008,Ремень ГРМ,7,3168.24,22177.71,2025-11-29
71,CUST-0167,1012,Стартер,20,5201.38,104027.65,2025-02-12
72,CUST-0210,1018,Щётки стеклоочистителя,9,6805.2,61246.79,2025-11-10
73,CUST-0321,1010,Радиатор охлаждения,11,4477.89,49256.81,2025-01-06
74,CUST-0144,1012,Стартер,8,4778.33,38226.67,2025-04-01
75,CUST-0445,1009,Помпа водяная,1,3488.91,3488.91,2025-10-26
76,CUST-0132,1004,Воздушный фильтр,13,2209.24,28720.15,2025-11-17
77,CUST-0227,1020,Лампы H7,18,6066.94,109204.87,2025-04-23
78,CUST-0323,1011,Генератор,9,3581.37,32232.31,2025-07-22
79,CUST-0372,1005,Свечи зажигания,15,1952.76,29291.37,2025-08-11
80,CUST-0048,1012,Стартер,5,5078.79,25393.97,2025-09-11
81,CUST-0442,1006,Амортизатор передний,15,2185.03,32775.42,2025-04-01
82,CUST-0374,1007,Амортизатор задний,19,2801.83,53234.83,2025-04-03
83,CUST-0454,1010,Радиатор охлаждения,1,3465.24,3465.24,2025-04-01
84,CUST-0074,1013,Аккумулятор 60Ah,20,4102.22,82044.3,2025-02-06
85,CUST-0331,1014,Аккумулятор 75Ah,8,4910.05,39280.39,2025-07-26
86,CUST-0385,1004,Воздушный фильтр,17,1602.97,27250.46,2025-01-07
87,CUST-0011,1020,Лампы H7,4,6539.16,26156.63,2025-02-26
88,CUST-0395,1001,Тормозные колодки передние,2,799.57,1599.13,2025-02-12
89,CUST-0308,1009,Помпа водяная,5,4040.57,20202.86,2025-01-07
90,CUST-0419,1001,Тормозные колодки передние,4,953.39,3813.56,2025-06-23
91,CUST-0389,1003,Масляный фильтр,7,1337.02,9359.13,2025-10-16
92,CUST-0246,1015,Моторное масло 5W-40,6,4903.19,29419.16,2025-03-21
93,CUST-0137,1008,Ремень ГРМ,2,3179.41,6358.82,2025-11-18
94,CUST-0023,1018,Щётки стеклоочистителя,4,5053.02,20212.08,2025-02-22
95,CUST-0454,1018,Щётки стеклоочистителя,10,5256.42,52564.15,2025-08-01
96,CUST-0013,1005,Свечи зажигания,1,2548.15,2548.15,2025-04-27
97,CUST-0336,1014,Аккумулятор 75Ah,13,4294.75,55831.79,2025-05-27
98,CUST-0367,1008,Ремень ГРМ,13,3358.46,43659.95,2025-02-27
99,CUST-0115,1016,Антифриз G12,6,6729.23,40375.37,2025-02-22
100,CUST-0171,1010,Радиатор охлаждения,12,3114.43,37373.22,2025-03-02
101,CUST-0310,1012,Стартер,3,5067.28,15201.83,2025-03-19
102,CUST-0308,1006,Амортизатор передний,14,2530.48,35426.73,2025-04-03
103,CUST-0352,1014,Аккумулятор 75Ah,5,5786.24,28931.18,2025-06-04
104,CUST-0054,1020,Лампы H7,10,6458.06,64580.61,2025-05-19
105,CUST-0416,1016,Антифриз G12,12,6598.98,79187.81,2025-12-31
106,CUST-0077,1003,Масляный фильтр,1,1788.57,1788.57,2025-12-02
107,CUST-0229,1005,Свечи зажигания,11,1879.31,20672.38,2025-09-02
108,CUST-0492,1003,Масляный фильтр,4,1611.15,6444.61,2025-05-23
109,CUST-0066,1005,Свечи зажигания,3,2032.67,6098.02,2025-04-04
110,CUST-0218,1013,Аккумулятор 60Ah,12,4348.72,52184.61,2025-09-04
111,CUST-0171,1014,Аккумулятор 75Ah,20,5587.0,111740.06,2025-03-12
112,CUST-0255,1008,Ремень ГРМ,13,3023.32,39303.22,2025-10-03
113,CUST-0421,1018,Щётки стеклоочистителя,16,6331.19,101298.98,2025-04-28
114,CUST-0216,1013,Аккумулятор 60Ah,3,4839.31,14517.92,2025-09-27
115,CUST-0121,1019,Лампы H4,8,7095.62,56764.96,2025-07-05
116,CUST-0009,1001,Тормозные колодки передние,7,1122.71,7859.0,2025-07-05
117,CUST-0472,1018,Щётки стеклоочистителя,16,7394.04,118304.63,2025-02-26
118,CUST-0435,1002,Тормозные колодки задние,12,1180.43,14165.15,2025-03-13
119,CUST-0437,1010,Радиатор охлаждения,15,3216.21,48243.16,2025-10-10
120,CUST-0115,1014,Аккумулятор 75Ah,8,4421.47,35371.8,2025-01-29
121,CUST-0361,1005,Свечи зажигания,4,2591.8,10367.18,2025-03-15
122,CUST-0218,1013,Аккумулятор 60Ah,1,5055.23,5055.23,2025-07-10
123,CUST-0038,1002,Тормозные колодки задние,4,1331.37,5325.49,2025-09-02
124,CUST-0188,1020,Лампы H7,6,5583.01,33498.06,2025-03-14
125,CUST-0292,1003,Масляный фильтр,8,1298.17,10385.33,2025-08-02
126,CUST-0072,1005,Свечи зажигания,6,2161.04,12966.26,2025-09-28
127,CUST-0173,1010,Радиатор охлаждения,16,3617.28,57876.54,2025-08-16
128,CUST-0031,1001,Тормозные колодки передние,10,791.72,7917.25,2025-11-25
129,CUST-0258,1002,Тормозные колодки задние,20,1375.57,27511.33,2025-03-24
130,CUST-0349,1001,Тормозные колодки передние,13,1062.26,13809.32,2025-08-21
131,CUST-0257,1018,Щётки стеклоочистителя,9,7297.88,65680.88,2025-06-06
132,CUST-0140,1008,Ремень ГРМ,14,3664.31,51300.38,2025-02-17
133,CUST-0065,1017,Тормозная жидкость DOT-4,13,7072.57,91943.47,2025-04-19
134,CUST-0201,1013,Аккумулятор 60Ah,20,3854.99,77099.88,2025-04-05
135,CUST-0419,1018,Щётки стеклоочистителя,20,7104.28,142085.65,2025-12-21
136,CUST-0329,1015,Моторное масло 5W-40,16,4915.53,78648.45,2025-07-27
137,CUST-0191,1013,Аккумулятор 60Ah,6,3852.51,23115.06,2025-11-28
138,CUST-0054,1014,Аккумулятор 75Ah,7,4539.84,31778.87,2025-02-09
139,CUST-0172,1012,Стартер,20,4862.9,97257.9,2025-01-15
140,CUST-0055,1008,Ремень ГРМ,10,2703.45,27034.51,2025-02-03
141,CUST-0466,1007,Амортизатор задний,20,2262.35,45246.98,2025-06-08
142,CUST-0476,1007,Амортизатор задний,18,2476.94,44584.95,2025-01-17
143,CUST-0292,1008,Ремень ГРМ,9,2606.3,23456.69,2025-10-17
144,CUST-0248,1002,Тормозные колодки задние,19,1493.25,28371.69,2025-01-24
145,CUST-0159,1002,Тормозные колодки задние,11,1046.61,11512.66,2025-01-05
146,CUST-0257,1012,Стартер,10,5177.79,51777.93,2025-04-10
147,CUST-0499,1011,Генератор,13,4429.24,57580.16,2025-03-08
148,CUST-0380,1004,Воздушный фильтр,11,1805.46,19860.11,2025-09-15
149,CUST-0077,1004,Воздушный фильтр,17,2105.62,35795.55,2025-01-13
150,CUST-0445,1019,Лампы H4,13,6502.0,84526.02,2025-01-20
151,CUST-0238,1010,Радиатор охлаждения,6,3227.31,19363.84,2025-02-10
152,CUST-0414,1003,Масляный фильтр,8,1802.75,14422.01,2025-12-15
153,CUST-0257,1005,Свечи зажигания,6,2619.24,15715.44,2025-09-22
154,CUST-0175,1020,Лампы H7,17,8058.12,136988.12,2025-08-18
155,CUST-0320,1005,Свечи зажигания,11,2004.49,22049.35,2025-08-09
156,CUST-0313,1002,Тормозные колодки задние,13,1119.56,14554.22,2025-11-07
157,CUST-0255,1003,Масляный фильтр,5,1604.31,8021.57,2025-02-19
158,CUST-0159,1001,Тормозные колодки передние,5,1037.37,5186.84,2025-10-08
159,CUST-0161,1003,Масляный фильтр,16,1308.82,20941.14,2025-03-28
160,CUST-0296,1010,Радиатор охлаждения,6,3102.24,18613.46,2025-07-06
161,CUST-0364,1012,Стартер,3,3624.48,10873.45,2025-08-24
162,CUST-0391,1009,Помпа водяная,16,4095.42,65526.64,2025-08-15
163,CUST-0250,1005,Свечи зажигания,4,2600.22,10400.88,2025-01-21
164,CUST-0439,1012,Стартер,10,4201.64,42016.44,2025-11-14
165,CUST-0433,1005,Свечи зажигания,15,2070.89,31063.36,2025-11-16
166,CUST-0212,1011,Генератор,12,3385.67,40628.07,2025-09-17
167,CUST-0350,1015,Моторное масло 5W-40,9,6114.49,55030.44,2025-01-22
168,CUST-0126,1020,Лампы H7,2,7537.87,15075.73,2025-12-25
169,CUST-0054,1018,Щётки стеклоочистителя,1,5386.41,5386.41,2025-05-29
170,CUST-0438,1013,Аккумулятор 60Ah,6,4819.0,28914.0,2025-02-07
171,CUST-0343,1008,Ремень ГРМ,13,3592.7,46705.08,2025-02-17
172,CUST-0274,1012,Стартер,15,4319.86,64797.83,2025-08-27
173,CUST-0056,1004,Воздушный фильтр,3,1635.21,4905.62,2025-07-23
174,CUST-0034,1014,Аккумулятор 75Ah,7,4803.04,33621.29,2025-06-12
175,CUST-0360,1011,Генератор,20,4040.23,80804.59,2025-09-01
176,CUST-0280,1004,Воздушный фильтр,9,1840.93,16568.41,2025-03-21
177,CUST-0164,1016,Антифриз G12,5,5940.49,29702.43,2025-10-18
178,CUST-0032,1002,Тормозные колодки задние,20,1387.1,27742.06,2025-07-05
179,CUST-0109,1014,Аккумулятор 75Ah,16,4426.84,70829.47,2025-01-12
180,CUST-0091,1014,Аккумулятор 75Ah,9,4504.14,40537.28,2025-02-12
181,CUST-0042,1005,Свечи зажигания,3,1989.67,5969.0,2025-06-02
182,CUST-0343,1015,Моторное масло 5W-40,14,5365.15,75112.14,2025-05-13
183,CUST-0462,1006,Амортизатор передний,2,2092.44,4184.88,2025-08-08
184,CUST-0179,1011,Генератор,10,3517.37,35173.67,2025-08-03
185,CUST-0402,1016,Антифриз G12,16,5704.89,91278.23,2025-03-24
186,CUST-0293,1014,Аккумулятор 75Ah,12,5825.2,69902.35,2025-07-19
187,CUST-0306,1001,Тормозные колодки передние,18,1043.65,18785.74,2025-04-12
188,CUST-0166,1003,Масляный фильтр,19,1635.32,31071.08,2025-12-07
189,CUST-0235,1011,Генератор,1,3494.57,3494.57,2025-03-17
190,CUST-0497,1016,Антифриз G12,11,4755.62,52311.77,2025-12-12
191,CUST-0002,1014,Аккумулятор 75Ah,9,5041.38,45372.45,2025-08-19
192,CUST-0297,1005,Свечи зажигания,15,2309.05,34635.78,2025-02-19
193,CUST-0097,1002,Тормозные колодки задние,7,1372.85,9609.98,2025-08-04
194,CUST-0111,1018,Щётки стеклоочистителя,6,6502.36,39014.15,2025-06-28
195,CUST-0296,1007,Амортизатор задний,7,3343.21,23402.49,2025-01-08
196,CUST-0460,1012,Стартер,12,3528.33,42340.02,2025-06-07
197,CUST-0333,1017,Тормозная жидкость DOT-4,4,6410.88,25643.51,2025-08-22
198,CUST-0425,1014,Аккумулятор 75Ah,14,4703.46,65848.41,2025-10-05
199,CUST-0172,1014,Аккумулятор 75Ah,17,5948.14,101118.39,2025-02-28
200,CUST-0091,1006,Амортизатор передний,15,2428.38,36425.75,2025-10-11
201,CUST-0196,1020,Лампы H7,6,6992.6,41955.59,2025-05-26
202,CUST-0481,1014,Аккумулятор 75Ah,10,5404.19,54041.85,2025-02-20
203,CUST-0009,1003,Масляный фильтр,4,1306.02,5224.09,2025-11-12
204,CUST-0385,1014,Аккумулятор 75Ah,4,4992.81,19971.24,2025-11-16
205,CUST-0258,1018,Щётки стеклоочистителя,4,6583.81,26335.25,2025-10-25
206,CUST-0109,1002,Тормозные колодки задние,10,1425.85,14258.53,2025-04-25
207,CUST-0101,1015,Моторное масло 5W-40,18,5059.79,91076.3,2025-08-29
208,CUST-0468,1004,Воздушный фильтр,12,2225.71,26708.54,2025-08-26
209,CUST-0192,1014,Аккумулятор 75Ah,13,4015.21,52197.73,2025-04-25
210,CUST-0338,1017,Тормозная жидкость DOT-4,10,5385.57,53855.72,2025-05-16
211,CUST-0003,1010,Радиатор охлаждения,14,4009.95,56139.32,2025-08-01
212,CUST-0405,1002,Тормозные колодки задние,1,1013.12,1013.12,2025-07-11
213,CUST-0088,1017,Тормозная жидкость DOT-4,20,5503.99,110079.87,2025-10-20
214,CUST-0201,1014,Аккумулятор 75Ah,8,5111.48,40891.83,2025-04-09
215,CUST-0411,1020,Лампы H7,13,7778.51,101120.66,2025-10-23
216,CUST-0200,1014,Аккумулятор 75Ah,5,5878.78,29393.92,2025-03-30
217,CUST-0224,1013,Аккумулятор 60Ah,11,4719.89,51918.84,2025-04-29
218,CUST-0324,1004,Воздушный фильтр,5,1878.19,9390.96,2025-10-23
219,CUST-0082,1013,Аккумулятор 60Ah,9,5320.01,47880.08,2025-06-15
220,CUST-0224,1007,Амортизатор задний,3,2354.92,7064.77,2025-01-06
221,CUST-0363,1019,Лампы H4,5,5323.02,26615.12,2025-10-06
222,CUST-0381,1003,Масляный фильтр,19,1489.0,28291.06,2025-03-08
223,CUST-0335,1015,Моторное масло 5W-40,12,4646.43,55757.16,2025-04-24
224,CUST-0126,1010,Радиатор охлаждения,7,3803.13,26621.88,2025-07-13
225,CUST-0479,1009,Помпа водяная,2,3128.08,6256.15,2025-03-15
226,CUST-0057,1001,Тормозные колодки передние,19,1075.1,20426.94,2025-08-24
227,CUST-0145,1020,Лампы H7,4,5794.46,23177.84,2025-05-15
228,CUST-0433,1006,Амортизатор передний,3,2077.38,6232.14,2025-07-05
229,CUST-0408,1007,Амортизатор задний,13,2363.26,30722.32,2025-01-12
230,CUST-0321,1014,Аккумулятор 75Ah,3,4973.03,14919.1,2025-02-09
231,CUST-0161,1007,Амортизатор задний,14,2672.16,37410.26,2025-11-21
232,CUST-0006,1015,Моторное масло 5W-40,6,4632.09,27792.53,2025-04-02
233,CUST-0061,1019,Лампы H4,20,7493.87,149877.47,2025-06-25
234,CUST-0308,1012,Стартер,16,5241.1,83857.65,2025-10-07
235,CUST-0131,1001,Тормозные колодки передние,6,945.66,5673.93,2025-03-04
236,CUST-0012,1007,Амортизатор задний,20,2283.25,45664.99,2025-09-23
237,CUST-0187,1017,Тормозная жидкость DOT-4,5,5263.73,26318.64,2025-02-28
238,CUST-0113,1007,Амортизатор задний,1,2618.48,2618.48,2025-02-12
239,CUST-0103,1005,Свечи зажигания,9,1989.46,17905.12,2025-02-17
240,CUST-0240,1012,Стартер,18,4640.87,83535.62,2025-09-11
241,CUST-0473,1014,Аккумулятор 75Ah,17,5892.69,100175.75,2025-04-09
242,CUST-0434,1009,Помпа водяная,6,3022.08,18132.48,2025-05-24
243,CUST-0393,1013,Аккумулятор 60Ah,4,4844.34,19377.36,2025-10-28
244,CUST-0489,1010,Радиатор охлаждения,6,4191.15,25146.9,2025-09-07
245,CUST-0383,1014,Аккумулятор 75Ah,15,4847.47,72712.12,2025-05-20
246,CUST-0197,1011,Генератор,20,3424.78,68495.67,2025-08-08
247,CUST-0460,1007,Амортизатор задний,19,2647.03,50293.57,2025-11-20
248,CUST-0018,1003,Масляный фильтр,15,1354.53,20317.96,2025-09-19
249,CUST-0310,1009,Помпа водяная,19,3313.49,62956.24,2025-11-27
250,CUST-0059,1017,Тормозная жидкость DOT-4,12,5695.98,68351.74,2025-04-03
251,CUST-0184,1011,Генератор,14,4535.21,63492.89,2025-05-06
252,CUST-0191,1003,Масляный фильтр,7,1660.6,11624.18,2025-03-16
253,CUST-0353,1011,Генератор,4,3265.65,13062.61,2025-01-06
254,CUST-0408,1011,Генератор,7,4006.24,28043.66,2025-06-14
255,CUST-0146,1008,Ремень ГРМ,18,2582.79,46490.29,2025-11-05
256,CUST-0288,1007,Амортизатор задний,17,2494.65,42408.99,2025-05-23
257,CUST-0331,1020,Лампы H7,3,7078.36,21235.07,2025-08-04
258,CUST-0102,1014,Аккумулятор 75Ah,11,5626.79,61894.68,2025-04-11
259,CUST-0141,1002,Тормозные колодки задние,16,1249.33,19989.21,2025-08-04
260,CUST-0308,1004,Воздушный фильтр,4,1839.59,7358.36,2025-06-17
261,CUST-0011,1019,Лампы H4,13,5870.61,76317.9,2025-05-26
262,CUST-0467,1001,Тормозные колодки передние,19,1120.48,21289.18,2025-08-25
263,CUST-0207,1010,Радиатор охлаждения,5,4262.46,21312.32,2025-01-19
264,CUST-0331,1018,Щётки стеклоочистителя,17,5097.8,86662.61,2025-01-09
265,CUST-0411,1003,Масляный фильтр,16,1309.45,20951.2,2025-08-01
266,CUST-0178,1010,Радиатор охлаждения,9,3475.78,31282.06,2025-07-24
267,CUST-0253,1003,Масляный фильтр,18,1734.13,31214.4,2025-11-10
268,CUST-0233,1002,Тормозные колодки задние,13,1149.22,14939.88,2025-09-10
269,CUST-0053,1004,Воздушный фильтр,12,2203.28,26439.33,2025-01-15
270,CUST-0072,1008,Ремень ГРМ,2,3531.82,7063.64,2025-02-23
271,CUST-0046,1011,Генератор,14,3617.8,50649.26,2025-04-08
272,CUST-0479,1012,Стартер,18,5231.74,94171.3,2025-12-19
273,CUST-0023,1002,Тормозные колодки задние,9,1441.66,12974.94,2025-02-26
274,CUST-0169,1002,Тормозные колодки задние,10,1037.52,10375.21,2025-12-19
275,CUST-0088,1020,Лампы H7,13,6242.26,81149.36,2025-03-12
276,CUST-0164,1019,Лампы H4,15,5564.74,83471.12,2025-03-17
277,CUST-0343,1019,Лампы H4,14,6921.87,96906.21,2025-03-04
278,CUST-0245,1017,Тормозная жидкость DOT-4,17,5321.24,90461.13,2025-12-05
279,CUST-0375,1016,Антифриз G12,9,5224.3,47018.71,2025-09-05
280,CUST-0152,1008,Ремень ГРМ,3,2829.77,8489.3,2025-12-31
281,CUST-0447,1003,Масляный фильтр,12,1599.07,19188.86,2025-05-05
282,CUST-0254,1007,Амортизатор задний,3,2334.54,7003.61,2025-01-31
283,CUST-0240,1007,Амортизатор задний,1,3004.31,3004.31,2025-07-17
284,CUST-0107,1007,Амортизатор задний,16,2367.6,37881.62,2025-10-30
285,CUST-0390,1017,Тормозная жидкость DOT-4,17,6788.84,115410.28,2025-06-09
286,CUST-0055,1015,Моторное масло 5W-40,5,6051.59,30257.95,2025-03-08
287,CUST-0232,1008,Ремень ГРМ,12,2981.97,35783.64,2025-11-14
288,CUST-0097,1017,Тормозная жидкость DOT-4,7,6602.55,46217.85,2025-02-05
289,CUST-0158,1009,Помпа водяная,14,2975.77,41660.78,2025-10-23
290,CUST-0055,1004,Воздушный фильтр,5,1845.72,9228.58,2025-02-26
291,CUST-0096,1008,Ремень ГРМ,1,3617.62,3617.62,2025-05-17
292,CUST-0232,1001,Тормозные колодки передние,16,998.21,15971.31,2025-06-30
293,CUST-0044,1009,Помпа водяная,4,4024.53,16098.1,2025-07-01
294,CUST-0258,1014,Аккумулятор 75Ah,7,4301.24,30108.68,2025-08-09
295,CUST-0140,1017,Тормозная жидкость DOT-4,11,4876.25,53638.73,2025-07-09
296,CUST-0375,1004,Воздушный фильтр,2,1986.47,3972.93,2025-08-05
297,CUST-0091,1007,Амортизатор задний,10,2463.13,24631.31,2025-11-01
298,CUST-0266,1009,Помпа водяная,17,3585.24,60949.1,2025-08-10
299,CUST-0491,1004,Воздушный фильтр,2,1984.76,3969.52,2025-02-26
300,CUST-0019,1008,Ремень ГРМ,4,2566.42,10265.69,2025-10-22
301,CUST-0052,1009,Помпа водяная,8,2840.54,22724.32,2025-05-22
302,CUST-0208,1008,Ремень ГРМ,20,3374.39,67487.81,2025-07-20
303,CUST-0422,1013,Аккумулятор 60Ah,4,4162.29,16649.16,2025-12-21
304,CUST-0403,1009,Помпа водяная,16,3032.84,48525.52,2025-04-15
305,CUST-0148,1012,Стартер,10,4735.24,47352.43,2025-01-02
306,CUST-0359,1004,Воздушный фильтр,6,1877.43,11264.58,2025-11-15
307,CUST-0353,1016,Антифриз G12,10,6418.27,64182.69,2025-05-03
308,CUST-0086,1006,Амортизатор передний,11,2681.44,29495.87,2025-04-06
309,CUST-0007,1011,Генератор,15,3480.48,52207.2,2025-12-08
310,CUST-0091,1016,Антифриз G12,14,5251.62,73522.71,2025-05-16
311,CUST-0437,1003,Масляный фильтр,6,1674.5,10047.01,2025-01-05
312,CUST-0299,1020,Лампы H7,12,8166.24,97994.87,2025-01-01
313,CUST-0024,1016,Антифриз G12,8,5563.28,44506.23,2025-01-09
314,CUST-0269,1019,Лампы H4,10,7442.82,74428.17,2025-09-15
315,CUST-0052,1006,Амортизатор передний,5,2775.26,13876.28,2025-06-05
316,CUST-0180,1011,Генератор,15,4047.33,60709.88,2025-10-07
317,CUST-0235,1009,Помпа водяная,16,3098.61,49577.81,2025-01-07
318,CUST-0457,1012,Стартер,10,4742.78,47427.75,2025-09-23
319,CUST-0352,1020,Лампы H7,16,5810.09,92961.49,2025-09-23
320,CUST-0439,1001,Тормозные колодки передние,5,1116.99,5584.95,2025-04-23
321,CUST-0126,1005,Свечи зажигания,12,2185.6,26227.24,2025-10-23
322,CUST-0046,1014,Аккумулятор 75Ah,12,4412.62,52951.38,2025-04-10
323,CUST-0450,1013,Аккумулятор 60Ah,4,5560.22,22240.9,2025-11-17
324,CUST-0449,1018,Щётки стеклоочистителя,15,7468.33,112024.94,2025-09-27
325,CUST-0179,1006,Амортизатор передний,9,2910.33,26192.95,2025-06-19
326,CUST-0142,1013,Аккумулятор 60Ah,19,4532.43,86116.11,2025-06-08
327,CUST-0360,1007,Амортизатор задний,2,2901.96,5803.91,2025-06-25
328,CUST-0233,1020,Лампы H7,4,6692.01,26768.06,2025-10-18
329,CUST-0005,1012,Стартер,10,3692.83,36928.34,2025-09-13
330,CUST-0268,1005,Свечи зажигания,15,2345.81,35187.12,2025-05-29
331,CUST-0156,1020,Лампы H7,18,7326.88,131883.86,2025-09-07
332,CUST-0008,1010,Радиатор охлаждения,3,4199.68,12599.03,2025-08-21
333,CUST-0304,1002,Тормозные колодки задние,7,1141.51,7990.56,2025-03-05
334,CUST-0221,1002,Тормозные колодки задние,16,1152.91,18446.57,2025-06-30
335,CUST-0180,1001,Тормозные колодки передние,2,844.29,1688.58,2025-05-26
336,CUST-0045,1017,Тормозная жидкость DOT-4,18,5118.21,92127.83,2025-05-19
337,CUST-0471,1005,Свечи зажигания,7,2128.04,14896.31,2025-02-11
338,CUST-0478,1010,Радиатор охлаждения,8,3048.21,24385.64,2025-07-01
339,CUST-0496,1008,Ремень ГРМ,13,3028.2,39366.65,2025-02-20
340,CUST-0089,1009,Помпа водяная,10,3570.93,35709.28,2025-10-16
341,CUST-0072,1014,Аккумулятор 75Ah,11,5608.76,61696.37,2025-12-16
