purchase_id,supplier_id,product_id,product_name,quantity,price_per_unit,total_amount,purchase_date
77,SUP-006,1006,Амортизатор передний,231,814.87,188235.39,2025-07-30
78,SUP-002,1008,Ремень ГРМ,156,1119.4,174626.15,2025-07-15
79,SUP-008,1002,Тормозные колодки задние,260,466.73,121349.83,2025-06-29
80,SUP-004,1010,Радиатор охлаждения,136,1400.63,190485.84,2025-07-24
81,SUP-005,1011,Генератор,162,2142.74,347124.55,2025-06-29
82,SUP-009,1017,Тормозная жидкость DOT-4,224,2868.31,642502.18,2025-06-19
83,SUP-005,1001,Тормозные колодки передние,79,497.33,39289.36,2025-04-02
84,SUP-010,1019,Лампы H4,155,2160.26,334839.54,2025-08-11
85,SUP-009,1012,Стартер,180,1858.21,334478.44,2025-03-01
86,SUP-007,1013,Аккумулятор 60Ah,117,1786.56,209027.85,2025-01-01
87,SUP-004,1017,Тормозная жидкость DOT-4,295,2878.77,849237.57,2025-07-06
88,SUP-006,1014,Аккумулятор 75Ah,55,2738.65,150625.72,2025-11-16
89,SUP-005,1011,Генератор,83,2001.76,166146.11,2025-09-17
90,SUP-005,1010,Радиатор охлаждения,229,1493.56,342026.3,2025-10-11
91,SUP-007,1005,Свечи зажигания,118,920.73,108646.65,2025-12-13
92,SUP-001,1006,Амортизатор передний,174,1043.65,181594.25,2025-06-05
93,SUP-010,1010,Радиатор охлаждения,127,1586.9,201536.22,2025-11-07
94,SUP-004,1011,Генератор,258,1730.74,446531.27,2025-09-19
95,SUP-005,1016,Антифриз G12,106,2689.45,285081.54,2025-09-21
96,SUP-004,1020,Лампы H7,191,2354.09,449630.98,2025-12-11
97,SUP-003,1010,Радиатор охлаждения,135,1925.91,259997.39,2025-01-13
98,SUP-010,1002,Тормозные колодки задние,145,695.18,100801.22,2025-02-07
99,SUP-010,1015,Моторное масло 5W-40,232,2829.82,656519.3,2025-04-10
100,SUP-003,1013,Аккумулятор 60Ah,273,1949.61,532243.39,2025-12-02
101,SUP-004,1001,Тормозные колодки передние,74,475.14,35160.7,2025-04-01
102,SUP-004,1017,Тормозная жидкость DOT-4,257,1971.56,506691.23,2025-03-04
103,SUP-009,1015,Моторное масло 5W-40,88,2721.81,239518.94,2025-10-14
104,SUP-008,1020,Лампы H7,182,3767.57,685696.89,2025-11-10
105,SUP-009,1017,Тормозная жидкость DOT-4,238,3083.56,733887.53,2025-08-17
106,SUP-004,1006,Амортизатор передний,263,1070.04,281421.01,2025-11-23
107,SUP-004,1009,Помпа водяная,286,1499.79,428940.67,2025-05-21
108,SUP-004,1015,Моторное масло 5W-40,59,2609.77,153976.41,2025-05-20
109,SUP-002,1011,Генератор,183,2170.7,397238.31,2025-03-12
110,SUP-003,1005,Свечи зажигания,138,901.09,124350.91,2025-12-28
111,SUP-006,1007,Амортизатор задний,52,1180.04,61361.86,2025-10-05
112,SUP-007,1015,Моторное масло 5W-40,232,1779.39,412818.2,2025-07-19
113,SUP-010,1019,Лампы H4,30,3449.35,103480.59,2025-07-14
114,SUP-005,1016,Антифриз G12,23,3072.7,70672.13,2025-07-19
115,SUP-009,1014,Аккумулятор 75Ah,295,2497.02,736620.55,2025-11-05
116,SUP-007,1008,Ремень ГРМ,269,1164.57,313268.31,2025-09-06
117,SUP-007,1001,Тормозные колодки передние,219,375.63,82262.78,2025-03-26
118,SUP-009,1015,Моторное масло 5W-40,85,2950.42,250785.74,2025-01-14
119,SUP-007,1013,Аккумулятор 60Ah,33,1594.44,52616.55,2025-03-11
120,SUP-007,1015,Моторное масло 5W-40,113,1764.11,199344.76,2025-06-17
121,SUP-007,1007,Амортизатор задний,252,1120.62,282396.47,2025-05-23
122,SUP-008,1014,Аккумулятор 75Ah,149,2601.89,387682.07,2025-01-10
123,SUP-006,1018,Щётки стеклоочистителя,46,3499.86,160993.64,2025-04-25
124,SUP-004,1003,Масляный фильтр,40,782.84,31313.5,2025-04-13
125,SUP-008,1001,Тормозные колодки передние,98,353.67,34659.92,2025-12-09
126,SUP-005,1004,Воздушный фильтр,131,809.27,106013.75,2025-07-08
127,SUP-003,1006,Амортизатор передний,78,1266.68,98800.66,2025-06-09
128,SUP-010,1004,Воздушный фильтр,33,1018.0,33593.97,2025-12-13
129,SUP-004,1013,Аккумулятор 60Ah,223,2559.15,570691.44,2025-02-08
130,SUP-005,1019,Лампы H4,144,2260.49,325511.22,2025-12-17
131,SUP-010,1020,Лампы H7,81,3513.77,284615.77,2025-01-22
132,SUP-006,1012,Стартер,292,1849.8,540140.7,2025-02-05
133,SUP-007,1017,Тормозная жидкость DOT-4,194,1918.03,372097.69,2025-09-08
134,SUP-008,1004,Воздушный фильтр,241,1032.35,248797.41,2025-12-29
135,SUP-009,1005,Свечи зажигания,242,792.47,191778.2,2025-11-30
136,SUP-008,1009,Помпа водяная,295,1739.08,513028.36,2025-08-12
137,SUP-004,1019,Лампы H4,157,2607.63,409397.87,2025-02-14
138,SUP-008,1009,Помпа водяная,250,1301.19,325296.83,2025-10-19
139,SUP-008,1020,Лампы H7,214,2755.05,589581.65,2025-06-16
140,SUP-005,1006,Амортизатор передний,269,927.27,249436.14,2025-06-24
141,SUP-009,1009,Помпа водяная,161,1558.53,250922.94,2025-04-08
142,SUP-008,1003,Масляный фильтр,143,770.03,110114.0,2025-10-12
143,SUP-008,1008,Ремень ГРМ,263,1484.43,390404.35,2025-08-18
144,SUP-007,1001,Тормозные колодки передние,67,366.2,24535.6,2025-12-21
145,SUP-006,1008,Ремень ГРМ,176,1497.97,263642.72,2025-08-31
146,SUP-009,1018,Щётки стеклоочистителя,291,2515.64,732050.1,2025-06-19
147,SUP-005,1012,Стартер,252,1684.46,424484.49,2025-04-29
148,SUP-009,1004,Воздушный фильтр,118,742.0,87555.6,2025-12-20
149,SUP-008,1006,Амортизатор передний,118,929.83,109720.03,2025-05-22
150,SUP-002,1019,Лампы H4,288,3039.95,875504.28,2025-04-10
151,SUP-005,1010,Радиатор охлаждения,136,1524.79,207371.84,2025-01-08
152,SUP-001,1018,Щётки стеклоочистителя,84,2411.47,202563.23,2025-10-11
153,SUP-008,1010,Радиатор охлаждения,84,1774.08,149022.95,2025-02-22
154,SUP-008,1001,Тормозные колодки передние,165,405.61,66926.36,2025-06-24
155,SUP-008,1006,Амортизатор передний,46,951.49,43768.4,2025-02-28
156,SUP-010,1003,Масляный фильтр,225,684.4,153991.12,2025-11-19
157,SUP-010,1002,Тормозные колодки задние,97,444.76,43141.65,2025-06-05
158,SUP-007,1003,Масляный фильтр,147,544.42,80029.64,2025-11-07
159,SUP-007,1020,Лампы H7,135,3479.89,469785.74,2025-08-19
160,SUP-007,1015,Моторное масло 5W-40,172,2796.71,481034.55,2025-06-06
161,SUP-002,1019,Лампы H4,50,3060.17,153008.43,2025-04-17
162,SUP-003,1007,Амортизатор задний,155,1345.79,208597.29,2025-05-03
163,SUP-007,1006,Амортизатор передний,58,893.92,51847.34,2025-08-19
164,SUP-004,1020,Лампы H7,260,2680.58,696950.23,2025-05-28
165,SUP-004,1010,Радиатор охлаждения,252,1264.06,318543.57,2025-05-16
166,SUP-009,1019,Лампы H4,121,2769.59,335120.86,2025-04-26
167,SUP-002,1005,Свечи зажигания,156,1133.98,176901.09,2025-01-31
168,SUP-010,1006,Амортизатор передний,177,1157.03,204793.68,2025-05-28
169,SUP-005,1015,Моторное масло 5W-40,83,2297.59,190699.96,2025-12-25
170,SUP-008,1013,Аккумулятор 60Ah,159,2063.03,328021.96,2025-08-13
171,SUP-006,1003,Масляный фильтр,40,833.53,33341.34,2025-11-06
172,SUP-010,1009,Помпа водяная,33,1175.34,38786.37,2025-10-28
173,SUP-003,1001,Тормозные колодки передние,157,429.66,67455.92,2025-08-29
174,SUP-003,1017,Тормозная жидкость DOT-4,246,3205.4,788529.32,2025-10-27
175,SUP-008,1014,Аккумулятор 75Ah,271,2762.87,748736.76,2025-06-28
176,SUP-002,1014,Аккумулятор 75Ah,190,1985.27,377201.28,2025-03-24
177,SUP-005,1011,Генератор,230,1976.33,454556.32,2025-12-06
178,SUP-006,1013,Аккумулятор 60Ah,38,2011.68,76443.81,2025-05-10
179,SUP-007,1011,Генератор,79,2245.93,177428.48,2025-09-21
180,SUP-001,1001,Тормозные колодки передние,297,403.94,119971.57,2025-04-07
181,SUP-008,1017,Тормозная жидкость DOT-4,205,2787.25,571386.92,2025-11-17
182,SUP-009,1015,Моторное масло 5W-40,46,1959.54,90138.69,2025-03-09
183,SUP-008,1010,Радиатор охлаждения,244,1992.76,486233.92,2025-03-04
184,SUP-005,1001,Тормозные колодки передние,142,459.7,65277.56,2025-10-10
185,SUP-002,1001,Тормозные колодки передние,228,320.97,73181.63,2025-08-25
186,SUP-005,1004,Воздушный фильтр,98,824.27,80778.36,2025-09-18
187,SUP-008,1009,Помпа водяная,232,1788.65,414966.16,2025-05-05
188,SUP-010,1015,Моторное масло 5W-40,94,2189.07,205772.78,2025-09-18
189,SUP-007,1005,Свечи зажигания,55,845.03,46476.64,2025-06-24
190,SUP-005,1017,Тормозная жидкость DOT-4,156,3069.28,478808.15,2025-06-02
191,SUP-008,1019,Лампы H4,270,3462.79,934952.07,2025-10-03
192,SUP-009,1016,Антифриз G12,196,2248.79,440763.61,2025-07-13
193,SUP-004,1015,Моторное масло 5W-40,184,2808.74,516808.55,2025-10-20
194,SUP-007,1013,Аккумулятор 60Ah,139,2463.01,342359.03,2025-01-23
195,SUP-007,1011,Генератор,262,1987.6,520750.46,2025-07-17
196,SUP-003,1005,Свечи зажигания,273,1206.53,329383.46,2025-09-15
197,SUP-008,1019,Лампы H4,189,3469.78,655788.04,2025-02-21
198,SUP-003,1017,Тормозная жидкость DOT-4,253,1921.87,486233.19,2025-07-29
199,SUP-005,1005,Свечи зажигания,58,946.48,54895.99,2025-06-23
200,SUP-006,1020,Лампы H7,223,3272.23,729707.4,2025-12-12
201,SUP-008,1018,Щётки стеклоочистителя,214,3431.21,734278.81,2025-10-05
202,SUP-005,1002,Тормозные колодки задние,55,470.43,25873.71,2025-04-27
203,SUP-002,1003,Масляный фильтр,242,866.88,209784.15,2025-08-16
204,SUP-001,1006,Амортизатор передний,173,1342.05,232175.42,2025-06-16
205,SUP-007,1002,Тормозные колодки задние,170,507.54,86281.63,2025-03-16
206,SUP-003,1008,Ремень ГРМ,291,1309.04,380930.29,2025-03-29
207,SUP-007,1006,Амортизатор передний,60,1165.7,69941.7,2025-11-14
208,SUP-003,1008,Ремень ГРМ,274,1684.62,461586.36,2025-04-29
209,SUP-001,1015,Моторное масло 5W-40,150,2285.95,342892.86,2025-08-27
210,SUP-008,1010,Радиатор охлаждения,299,1342.18,401311.24,2025-06-26
211,SUP-007,1019,Лампы H4,173,3106.33,537394.82,2025-12-20
212,SUP-004,1009,Помпа водяная,253,1797.38,454736.06,2025-07-16
213,SUP-010,1016,Антифриз G12,74,2120.23,156896.85,2025-07-03
214,SUP-005,1019,Лампы H4,171,3663.49,626456.78,2025-01-12
215,SUP-001,1013,Аккумулятор 60Ah,160,1509.11,241457.63,2025-11-07
216,SUP-004,1016,Антифриз G12,166,2847.25,472643.55,2025-11-07
217,SUP-010,1012,Стартер,132,2068.45,273035.24,2025-05-09
218,SUP-001,1005,Свечи зажигания,69,1174.29,81025.8,2025-06-08
219,SUP-003,1015,Моторное масло 5W-40,37,2438.96,90241.39,2025-02-16
220,SUP-003,1010,Радиатор охлаждения,187,1872.73,350201.03,2025-04-13
221,SUP-006,1005,Свечи зажигания,296,1160.14,343401.98,2025-09-29
222,SUP-005,1017,Тормозная жидкость DOT-4,159,3083.42,490264.33,2025-09-04
223,SUP-008,1010,Радиатор охлаждения,193,1923.81,371295.19,2025-02-08
224,SUP-007,1005,Свечи зажигания,135,1151.57,155462.46,2025-10-13
225,SUP-001,1012,Стартер,66,2230.22,147194.26,2025-05-16
226,SUP-005,1018,Щётки стеклоочистителя,83,2682.18,222620.86,2025-10-27
227,SUP-004,1013,Аккумулятор 60Ah,210,1621.89,340596.77,2025-08-30
228,SUP-004,1001,Тормозные колодки передние,187,505.93,94609.39,2025-11-28
229,SUP-005,1003,Масляный фильтр,257,841.02,216142.23,2025-11-29
230,SUP-001,1014,Аккумулятор 75Ah,79,1767.73,139650.86,2025-06-05
231,SUP-009,1016,Антифриз G12,79,1931.21,152565.53,2025-03-11
232,SUP-009,1013,Аккумулятор 60Ah,252,1917.39,483181.76,2025-08-03
233,SUP-002,1019,Лампы H4,99,3494.53,345958.14,2025-09-08
234,SUP-005,1020,Лампы H7,228,3749.44,854871.76,2025-01-17
235,SUP-004,1012,Стартер,131,1865.55,244387.34,2025-07-05
236,SUP-006,1004,Воздушный фильтр,208,845.01,175762.0,2025-02-01
237,SUP-002,1013,Аккумулятор 60Ah,161,1713.53,275879.08,2025-08-21
238,SUP-010,1003,Масляный фильтр,128,740.64,94801.81,2025-01-11
239,SUP-003,1002,Тормозные колодки задние,190,473.07,89883.43,2025-10-17
240,SUP-009,1007,Амортизатор задний,55,1460.13,80306.99,2025-04-17
241,SUP-004,1019,Лампы H4,130,3380.56,439472.6,2025-06-18
242,SUP-003,1005,Свечи зажигания,21,845.57,17756.96,2025-03-08
243,SUP-002,1018,Щётки стеклоочистителя,148,3197.77,473270.07,2025-12-05
244,SUP-004,1001,Тормозные колодки передние,87,303.34,26390.89,2025-10-29
245,SUP-001,1011,Генератор,28,1469.89,41156.92,2025-03-06
246,SUP-002,1014,Аккумулятор 75Ah,289,1736.38,501813.58,2025-09-01
247,SUP-002,1015,Моторное масло 5W-40,205,2354.38,482647.57,2025-08-20
248,SUP-001,1017,Тормозная жидкость DOT-4,133,3247.22,431879.9,2025-12-04
249,SUP-001,1017,Тормозная жидкость DOT-4,174,2552.71,444171.64,2025-02-01
250,SUP-002,1016,Антифриз G12,225,2375.47,534480.61,2025-09-09
251,SUP-006,1015,Моторное масло 5W-40,57,2846.57,162254.21,2025-11-08
252,SUP-010,1005,Свечи зажигания,53,766.25,40611.28,2025-11-21
253,SUP-007,1019,Лампы H4,300,3221.64,966492.2,2025-11-02
254,SUP-010,1017,Тормозная жидкость DOT-4,170,2546.54,432912.56,2025-08-09
255,SUP-009,1004,Воздушный фильтр,78,983.76,76733.03,2025-04-21
256,SUP-007,1014,Аккумулятор 75Ah,251,2665.71,669093.02,2025-06-23
257,SUP-002,1015,Моторное масло 5W-40,224,2230.39,499606.64,2025-06-10
258,SUP-006,1014,Аккумулятор 75Ah,180,2398.13,431663.3,2025-03-20
259,SUP-002,1016,Антифриз G12,54,1923.15,103850.29,2025-02-17
260,SUP-006,1014,Аккумулятор 75Ah,69,2493.51,172051.97,2025-03-08
261,SUP-009,1018,Щётки стеклоочистителя,50,2879.7,143984.88,2025-10-15
262,SUP-007,1011,Генератор,82,1700.54,139444.15,2025-01-27
263,SUP-010,1010,Радиатор охлаждения,179,1516.48,271450.2,2025-09-17
264,SUP-004,1007,Амортизатор задний,99,1343.3,132986.4,2025-02-25
265,SUP-005,1012,Стартер,208,1520.63,316290.95,2025-10-21
266,SUP-010,1008,Ремень ГРМ,239,1633.87,390494.06,2025-11-11
267,SUP-005,1018,Щётки стеклоочистителя,33,2913.49,96145.25,2025-01-15
268,SUP-005,1006,Амортизатор передний,159,1221.62,194237.46,2025-06-23
269,SUP-003,1012,Стартер,23,1590.48,36580.94,2025-10-17
270,SUP-001,1013,Аккумулятор 60Ah,55,1659.61,91278.49,2025-02-16
271,SUP-008,1017,Тормозная жидкость DOT-4,130,2436.08,316690.01,2025-06-24
272,SUP-006,1006,Амортизатор передний,209,986.98,206279.33,2025-10-18
273,SUP-003,1020,Лампы H7,63,3657.51,230423.42,2025-03-22
274,SUP-005,1020,Лампы H7,45,3312.05,149042.18,2025-08-15
275,SUP-007,1014,Аккумулятор 75Ah,268,2328.49,624035.64,2025-05-20
276,SUP-007,1007,Амортизатор задний,282,976.83,275465.16,2025-02-26
277,SUP-005,1010,Радиатор охлаждения,269,1674.24,450370.75,2025-01-24
278,SUP-001,1008,Ремень ГРМ,222,1738.33,385910.2,2025-01-04
279,SUP-003,1007,Амортизатор задний,174,1538.09,267628.31,2025-05-11
280,SUP-008,1010,Радиатор охлаждения,187,1307.99,244593.37,2025-08-09
281,SUP-004,1006,Амортизатор передний,86,1028.12,88418.7,2025-09-14
282,SUP-001,1018,Щётки стеклоочистителя,201,2108.11,423730.76,2025-08-12
283,SUP-006,1001,Тормозные колодки передние,255,507.26,129351.69,2025-10-22
284,SUP-007,1014,Аккумулятор 75Ah,227,2451.4,556467.52,2025-05-29
285,SUP-006,1004,Воздушный фильтр,227,609.39,138330.5,2025-03-29
286,SUP-006,1020,Лампы H7,255,3572.84,911074.9,2025-02-15
287,SUP-010,1014,Аккумулятор 75Ah,74,1891.98,140006.5,2025-07-25
288,SUP-005,1017,Тормозная жидкость DOT-4,60,2463.97,147838.05,2025-06-23
289,SUP-002,1008,Ремень ГРМ,190,1584.34,301024.3,2025-09-19
290,SUP-006,1004,Воздушный фильтр,291,829.48,241378.22,2025-06-29
291,SUP-005,1005,Свечи зажигания,140,753.97,105556.13,2025-04-12
292,SUP-002,1006,Амортизатор передний,98,1256.13,123100.66,2025-04-01
293,SUP-010,1016,Антифриз G12,257,2818.5,724354.98,2025-08-18
294,SUP-006,1019,Лампы H4,185,3461.19,640319.93,2025-03-19
295,SUP-005,1015,Моторное масло 5W-40,54,2297.87,124085.22,2025-05-21
296,SUP-002,1019,Лампы H4,48,2654.31,127406.83,2025-06-08
297,SUP-006,1015,Моторное масло 5W-40,251,1747.95,438735.26,2025-05-27
298,SUP-009,1003,Масляный фильтр,66,730.63,48221.46,2025-07-16
299,SUP-010,1015,Моторное масло 5W-40,41,2273.41,93209.83,2025-11-30
300,SUP-009,1007,Амортизатор задний,184,1308.38,240741.72,2025-03-19
301,SUP-006,1002,Тормозные колодки задние,250,431.05,107762.64,2025-02-13
302,SUP-008,1017,Тормозная жидкость DOT-4,108,1955.78,211223.97,2025-08-13
303,SUP-006,1017,Тормозная жидкость DOT-4,287,2768.97,794695.17,2025-07-10
304,SUP-006,1010,Радиатор охлаждения,218,1567.89,341800.56,2025-12-14
305,SUP-006,1020,Лампы H7,46,3502.22,161102.32,2025-02-03
306,SUP-007,1011,Генератор,68,1844.01,125392.96,2025-05-26
307,SUP-010,1009,Помпа водяная,96,1375.02,132002.27,2025-12-06
308,SUP-007,1005,Свечи зажигания,199,862.87,171711.46,2025-03-08
309,SUP-007,1020,Лампы H7,63,2710.81,170781.04,2025-11-26
310,SUP-009,1011,Генератор,85,1953.36,166035.9,2025-02-17
311,SUP-006,1014,Аккумулятор 75Ah,280,2034.19,569574.24,2025-06-08
312,SUP-008,1006,Амортизатор передний,129,1005.04,129650.08,2025-04-09
313,SUP-005,1008,Ремень ГРМ,90,1116.21,100458.8,2025-02-21
314,SUP-009,1017,Тормозная жидкость DOT-4,296,3090.05,914653.54,2025-01-20
315,SUP-003,1011,Генератор,87,1882.32,163761.43,2025-03-25
316,SUP-001,1006,Амортизатор передний,104,1232.71,128201.82,2025-07-30
317,SUP-010,1012,Стартер,141,2418.07,340947.59,2025-05-26
318,SUP-005,1015,Моторное масло 5W-40,139,2380.86,330940.13,2025-08-29
319,SUP-010,1007,Амортизатор задний,208,1357.86,282434.28,2025-08-14
320,SUP-009,1015,Моторное масло 5W-40,164,2692.11,441505.74,2025-09-28
321,SUP-010,1014,Аккумулятор 75Ah,102,2580.27,263187.49,2025-03-12
322,SUP-006,1009,Помпа водяная,46,1628.97,74932.74,2025-10-11
323,SUP-005,1004,Воздушный фильтр,284,983.02,279179.02,2025-02-12
324,SUP-009,1006,Амортизатор передний,159,1069.59,170065.05,2025-03-17
325,SUP-004,1014,Аккумулятор 75Ah,66,2735.7,180555.93,2025-08-19
326,SUP-007,1012,Стартер,33,1835.64,60576.18,2025-09-15
327,SUP-002,1012,Стартер,140,1805.47,252766.42,2025-07-11
328,SUP-002,1008,Ремень ГРМ,34,1239.01,42126.46,2025-11-29
329,SUP-005,1011,Генератор,94,1434.16,134811.0,2025-08-30
330,SUP-001,1005,Свечи зажигания,260,935.52,243234.1,2025-02-10
331,SUP-003,1001,Тормозные колодки передние,151,348.52,52626.87,2025-10-08
332,SUP-005,1020,Лампы H7,290,2898.37,840527.4,2025-05-02
333,SUP-007,1010,Радиатор охлаждения,82,1242.97,101923.91,2025-11-24
334,SUP-008,1020,Лампы H7,254,2303.63,585122.48,2025-11-02
335,SUP-010,1018,Щётки стеклоочистителя,28,2947.93,82542.11,2025-05-04
336,SUP-010,1005,Свечи зажигания,169,925.35,156384.22,2025-06-30
337,SUP-002,1008,Ремень ГРМ,233,1140.49,265733.11,2025-09-26
338,SUP-009,1012,Стартер,54,2401.07,129657.99,2025-09-17
339,SUP-008,1017,Тормозная жидкость DOT-4,30,2456.4,73691.9,2025-01-23
340,SUP-001,1013,Аккумулятор 60Ah,211,1785.36,376710.23,2025-07-02
341,SUP-002,1003,Масляный фильтр,196,590.42,115722.76,2025-10-25
342,SUP-009,1011,Генератор,88,1343.23,118204.0,2025-06-23
343,SUP-008,1006,Амортизатор передний,257,1388.49,356842.32,2025-11-20
344,SUP-008,1006,Амортизатор передний,89,837.86,74569.57,2025-01-19
345,SUP-004,1010,Радиатор охлаждения,123,1239.43,152449.35,2025-01-22
346,SUP-009,1011,Генератор,178,1802.5,320844.82,2025-08-31
347,SUP-004,1009,Помпа водяная,38,1721.47,65415.67,2025-05-27
348,SUP-006,1012,Стартер,44,2309.09,101599.88,2025-05-20
349,SUP-007,1004,Воздушный фильтр,208,796.63,165698.65,2025-08-14
350,SUP-008,1013,Аккумулятор 60Ah,193,2595.44,500919.73,2025-12-21
351,SUP-009,1016,Антифриз G12,208,3047.82,633946.38,2025-05-17
